Date,Store_ID,Store_Location,Product_ID,Product_Category,Product_Subcategory,Brand,Unit_Price,Units_Sold,Total_Sales,Discount_Percentage,Revenue,Customer_Type,Payment_Mode,Promotion_Applied,Stock_On_Hand,Store_Rating,Region,Holiday_Flag
2023-04-13,STR_104,Chennai,PRD_072,Sports,Athletics,Reebok,29973.06,39,1168949.34,5,1110501.8730000001,Returning,Debit Card,Yes,422,4.4,South,0
2024-10-25,STR_103,Delhi,PRD_492,Sports,Outdoor,Yonex,46933.78,2,93867.56,15,79787.42599999999,Returning,UPI,No,302,4.1,North,0
2023-02-28,STR_107,Kolkata,PRD_958,Groceries,Household,Nestle,39280.28,44,1728332.3199999998,15,1469082.4719999998,Returning,Cash,No,184,3.8,East,0
2023-06-16,STR_102,Bangalore,PRD_014,Home Appliances,Kitchen,Whirlpool,40439.03,9,363951.27,5,345753.70650000003,New,UPI,Yes,493,3.7,South,0
2024-05-23,STR_108,Ahmedabad,PRD_932,Fashion,Women Clothing,Puma,9193.58,4,36774.32,5,34935.604,Returning,Credit Card,No,359,3.5,West,0
2024-02-06,STR_102,Bangalore,PRD_958,Home Appliances,Cleaning,Prestige,46340.28,31,1436548.68,15,1221066.378,Returning,UPI,No,286,3.9,South,0
2023-02-22,STR_108,Ahmedabad,PRD_188,Groceries,Beverages,Amul,27180.53,41,1114401.73,20,891521.3840000001,New,Debit Card,Yes,58,4.7,West,0
2024-10-09,STR_108,Ahmedabad,PRD_392,Fashion,Footwear,Puma,36477.46,33,1203756.18,10,1083380.562,Returning,UPI,No,77,4.8,West,0
2023-02-02,STR_108,Ahmedabad,PRD_872,Sports,Athletics,Yonex,13808.62,35,483301.7,0,483301.7,Returning,Debit Card,Yes,306,4.6,West,0
2024-05-17,STR_107,Kolkata,PRD_015,Fashion,Men Clothing,Levis,5633.45,13,73234.84999999999,10,65911.36499999999,Returning,Debit Card,No,145,4.5,East,0
2024-04-29,STR_107,Kolkata,PRD_541,Sports,Athletics,Reebok,11517.03,32,368544.96,10,331690.46400000004,Returning,Debit Card,Yes,94,3.9,East,0
2024-10-07,STR_104,Chennai,PRD_331,Home Appliances,Cleaning,Prestige,16284.82,28,455974.95999999996,0,455974.95999999996,New,Debit Card,No,332,4.1,South,0
2023-09-16,STR_107,Kolkata,PRD_677,Fashion,Men Clothing,Nike,34652.56,42,1455407.52,15,1237096.392,New,Cash,No,145,4.3,East,0
2024-11-22,STR_101,Mumbai,PRD_268,Electronics,Laptops,Sony,12663.94,2,25327.88,10,22795.092,Returning,UPI,Yes,236,4.4,West,0
2024-07-19,STR_107,Kolkata,PRD_403,Sports,Gym Equipment,Decathlon,34067.2,44,1498956.7999999998,5,1424008.9599999997,Returning,Cash,No,488,4.6,East,0
2023-05-03,STR_101,Mumbai,PRD_982,Sports,Outdoor,Adidas,26835.16,48,1288087.68,0,1288087.68,New,UPI,No,398,4.8,West,0
2024-02-07,STR_102,Bangalore,PRD_148,Fashion,Footwear,Levis,32294.12,41,1324058.92,0,1324058.92,Returning,Cash,No,178,4.5,South,0
2024-04-17,STR_102,Bangalore,PRD_764,Groceries,Household,Britannia,8830.25,48,423852.0,0,423852.0,New,Cash,No,353,4.9,South,0
2024-03-28,STR_105,Pune,PRD_233,Fashion,Footwear,Puma,17525.56,48,841226.8800000001,10,757104.1920000002,Returning,Cash,No,457,4.8,West,0
2024-09-16,STR_108,Ahmedabad,PRD_852,Home Appliances,Cleaning,Whirlpool,29076.26,48,1395660.48,0,1395660.48,New,Debit Card,No,415,4.3,West,0
2023-06-12,STR_108,Ahmedabad,PRD_161,Sports,Gym Equipment,Yonex,1001.96,14,14027.44,20,11221.952000000001,Returning,Cash,No,184,4.6,West,0
2024-10-01,STR_101,Mumbai,PRD_470,Home Appliances,Lighting,LG,13333.6,46,613345.6,20,490676.48,Returning,Debit Card,No,275,4.0,West,0
2024-04-25,STR_105,Pune,PRD_659,Home Appliances,Kitchen,Whirlpool,28643.01,49,1403507.49,0,1403507.49,Returning,Cash,No,422,4.8,West,0
